id,brand,model,version,year,km,sell_price,purchase_price
13757,KAWASAKI,ER,6N,2016,20000,   4390.0,
13761,KYMCO,K-XCT,125,2016,10000,   2390.0,
13769,KTM,ADVENTURE,1290,2018,60000,  10990.0,
13773,HONDA,PCX,125,2017,10000,   2490.0,
13784,RIEJU,TANGO,125 E,2015,30000,   1390.0,
13816,YAMAHA,T-MAX,500,2007,40000,   5090.0,
13820,YAMAHA,FZ6,N,2006,20000,   2490.0,
13826,BMW,S,1000 RR,2016,10000,  15690.0,
13832,KTM,SUPERMOTO,690,2007,40000,   3390.0,
13843,PIAGGIO,ZIP,50,2011,10000,    990.0,
13847,BMW,R,NINET PURE,2018,10000,  10490.0,
13857,HONDA,FMX,650,2007,20000,   3990.0,
13860,BMW,R,850 R,2006,60000,   4690.0,
13861,APRILIA,SX,125,2019,20000,   2790.0,
13869,YAMAHA,T-MAX,530,2017,40000,   7890.0,
13882,KAWASAKI,Z,900,2018,10000,   6790.0,
13896,HONDA,SH,125,2019,30000,   2790.0,
13919,SUZUKI,MARAUDER,250,2007,50000,   1490.0,
13920,KAWASAKI,ER,6N,2007,10000,   2590.0,
13921,HONDA,X-ADV,750,2019,10000,   8390.0,
13925,SUZUKI,BANDIT,650 S,2006,80000,   1590.0,
13939,VESPA,GTS,125,2013,10000,   3190.0,
13943,VESPA,LX,50,2005,17651,   1190.0,  400.0
13953,KAWASAKI,ER,6N,2015,30000,   4190.0,
13958,BMW,S,1000 R,2019,30000,  10990.0,
13999,KYMCO,X CITING,400 S,2021,10000,   5290.0,
14000,HONDA,SH,125 MODE,2008,30000,   1290.0,  400.0
14003,HONDA,[*AJ*] CB,500 X ABS,2020,10000,   5590.0,
14009,YAMAHA,YZF,R 6,2006,50000,   3590.0,
14015,BMW,F,700 GS,2016,60000,   5990.0,
14016,DUCATI,MULTIESTRADA,1260,2018,20000,  15790.0,
14017,KEEWAY,RKS,125,2020,10000,   1790.0,  700.0
14021,KAWASAKI,[*AJ*] J,300,2016,10000,   3590.0,
14024,YAMAHA,FZ8,S,2010,60000,   3890.0,
14036,KAWASAKI,VERSYS,650,2016,10000,   6490.0, 5000.0
14037,YAMAHA,MT,07,2019,10000,   5790.0,
14040,HARLEY DAVIDSON,SOFTAIL,DELUXE,2008,10000,   6990.0,
14043,YAMAHA,T-MAX,500,2006,60000,   3490.0,
14046,BMW,S,1000 XR,2021,10000,  19790.0,
14047,DUCATI,DIAVEL,DIAVEL,2017,10000,  13490.0,
14052,SYM,JET,125,2018,10000,   1990.0,
14053,YAMAHA,X-MAX,125,2007,40000,   1490.0,
14057,MACBOR,FUN,125,2019,10000,   1990.0,
14058,HONDA,CBF,600 S,2009,20000,   3590.0, 2200.0
14065,YAMAHA,FZ6,S,2008,80000,   2190.0,
14075,KYMCO,MILLER,125,2019,10000,   1790.0,
14078,KAWASAKI,[*AJ*] VN,900 CLASSIC,2007,40000,   4590.0,
14092,HARLEY DAVIDSON,SPORTSTER,1200 CUSTOM,2010,10000,   8490.0,
14100,KAWASAKI,ER,6N,2009,20000,   2990.0, 1700.0
14102,KYMCO,SUPER DINK,300,2011,40000,   2390.0, 1100.0
14106,KTM,[*AJ*] ADVENTURE,1290 S,2020,10000,  14990.0,
14108,YAMAHA,[*AJ*] MT,09 SP,2019,49300,   7990.0, 6700.0
14114,KAWASAKI,VERSYS,650,2008,60000,   3090.0,
14121,YAMAHA,TRACER,900,2015,50000,   6890.0,
14133,YAMAHA,FZ6,S,2010,40000,   3390.0,
14134,KAWASAKI,Z,750,2008,50000,   3490.0,
14138,YAMAHA,YZF,R 125,2010,30000,   2690.0,
14145,HONDA,CB,500 X,2020,10000,   5790.0,
14151,HONDA,VARADERO,XL 1000V,2009,30000,   5190.0,
14153,HONDA,CBR,1000 RR FIREBLADE,2007,80000,   2090.0,
14163,KAWASAKI,VN,900 CLASSIC,2007,80000,   3890.0,
14166,SUZUKI,BURGMAN,125,2012,30000,   1990.0,
14172,BMW,R,1200 GS ADVENTURE,2014,60000,  10590.0,
14185,DUCATI,SCRAMBLER,SIXTY2,2019,10000,   6490.0,
14192,DUCATI,SCRAMBLER,DESERT,2021,10000,  10490.0,
14195,YAMAHA,MT,03,2009,40000,   2690.0,
14198,SYM,SYMPHONY,125,2018,10000,   1790.0,
14200,DUCATI,MULTIESTRADA,950,2020,20000,  11990.0,
14201,BMW,R,1200 RT 110 CV,2011,30000,  10790.0,
14220,YAMAHA,YBR,125,2006,20000,   1290.0,  350.0
14222,MV AGUSTA,BRUTALE,910 S,2009,20000,   4990.0,
14235,HONDA,TRANSALP,XL 650 V,2007,60000,   3290.0,
14238,SYM,JOYMAX,300,2016,20000,   2790.0,
14244,HONDA,DEAUVILLE,NT 600,2005,60000,   3490.0,
14248,HARLEY DAVIDSON,STREET GLIDE,SPECIAL,2015,10000,   6000.0,
14249,BMW,F,800 GT,2014,30000,   5890.0,
14253,BENELLI,TRK,502,2019,20000,   5590.0,
14261,SUZUKI,V-STROM,650,2007,60000,   3290.0,
14262,SUZUKI,V-STROM,650,2019,30000,   7490.0,
14263,HONDA,CB,125 R,2018,20000,   2890.0,
14270,KTM,DUKE,125,2019,10000,   3590.0,
14271,HONDA,AFRICA TWIN,CRF 1000L,2017,60000,   9390.0,
14273,KYMCO,X CITING,400 S,2021,10000,   5190.0,
14275,HARLEY DAVIDSON,DYNA,FAT BOB,2008,30000,   9990.0,
14279,YAMAHA,XSR,900,2018,20000,   7990.0,
14284,KAWASAKI,VULCAN,800 CLASSIC,2005,20000,   4490.0,
14287,PIAGGIO,MP3,400,2010,30000,   3790.0,
14295,YAMAHA,T-MAX,500,2007,80000,   3190.0,
14299,KAWASAKI,GTR,1400,2008,60000,   7090.0,
14300,HONDA,CBF,600 S,2010,20000,   3390.0, 2100.0
14326,TRIUMPH,AMERICA,900,2011,10000,   6290.0,
14327,KTM,ADVENTURE,1190,2013,60000,   7990.0,
14335,APRILIA,DORSODURO,750,2009,23358,   5190.0, 3600.0
14339,DUCATI,MULTIESTRADA,1100,2006,7000,   5290.0, 3300.0
14342,BMW,R,NINET URBAN G/S,2018,10000,  11690.0,
14354,YAMAHA,XVS,650 DRAG STAR CLASSIC,2002,60000,   2990.0,
14359,HARLEY DAVIDSON,SPORTSTER,883,2005,80000,   6990.0,
14370,KAWASAKI,Z,900,2021,10000,   8390.0,
14382,GASGAS,EC,300,2018,10000,   4990.0,
14388,SUZUKI,GSX,S 750,2020,10000,   7690.0,
14390,YAMAHA,X-MAX,125,2015,40000,   2990.0, 1600.0
14394,KAWASAKI,NINJA,650,2017,20000,   4990.0,
14399,HONDA,FMX,650,2007,30000,   3190.0, 2150.0
14406,BMW,R,1150 R,2003,60000,   3790.0,
14427,VESPA,LX,50,2008,10000,   1290.0,
14434,BMW,R,1200GS,2005,60218,   6390.0, 5000.0
14441,HONDA,DN,01,2010,50000,   4990.0,
14442,PEUGEOT,TWEET,125,2016,30000,   1190.0,
14448,KAWASAKI,ZR7,S,2006,50000,   3490.0,
14453,Royal enfield,Continental gt 650,Continental gt 650,2018,20000,   5190.0,
14454,BMW,R,1200 GS RALLYE,2016,40000,  13590.0,
14455,YAMAHA,FZ6,N,2005,3500,   2490.0, 1500.0
14488,HARLEY DAVIDSON,SPORTSTER,1200 IRON,2007,50000,   6290.0,
14490,KTM,EXC,300,2019,20000,   7290.0,
14491,YAMAHA,X-MAX,125,2007,30000,   1790.0,
14501,YAMAHA,TRACER,9 gt,2020,20000,  12790.0,
14510,DUCATI,MONSTER,696,2008,40000,   4190.0, 3100.0
14520,BMW,R,1150 GS,2001,80000,   3590.0,
14534,KAWASAKI,[*AJ*] Z,800,2016,30000,   5690.0,
14536,SUZUKI,INTRUDER,125,2007,30000,   1490.0,  750.0
14538,SUZUKI,MARAUDER,125,2003,20000,   1690.0,
14540,YAMAHA,X-MAX,125,2020,20000,   4590.0,
14542,YAMAHA,MT,07,2019,20000,   5890.0,
14543,SYM,JOYMAX,125,2017,30000,   2190.0,
14546,DUCATI,SCRAMBLER,ICON,2014,40000,   5490.0,
14557,HONDA,FORZA,125,2017,30000,   3790.0,
14569,SYM,JOYMAX,125,2012,20000,   1490.0,
14582,YAMAHA,T-MAX,530,2013,40000,   6990.0,
14607,KTM,EXC,450,2014,40000,   4990.0,
14613,PIAGGIO,LIBERTY,125,2017,30000,   1490.0,
14615,YAMAHA,T-MAX,530,2015,40000,   7790.0,
14622,SUZUKI,GSX,R 600,2006,50000,   4390.0,
14640,KYMCO,GRAND DINK,125,2017,30000,   2690.0,
14643,MACBOR,EIGHT MILE,125,2020,20000,   2090.0,
14648,BMW,K,1200 R,2005,60000,   4990.0,
14666,HONDA,SILVER WING,400,2006,40000,   1990.0,
14667,KAWASAKI,ER,6N,2007,60000,   1990.0,
14672,VESPA,PRIMAVERA,125,2014,30000,   2690.0,
14679,BMW,S,1000 RR,2017,30000,  11390.0,
14697,HONDA,FORZA,125,2018,12025,   3590.0, 2800.0
14698,Hanway,Café,Raw,2016,30000,   1590.0,
14712,YAMAHA,MT,07,2018,30000,   4990.0,
14724,YAMAHA,WR,450 F,2005,30000,   3490.0,
14728,HONDA,VT,750 SHADOW,2006,60000,   3990.0,
14735,VESPA,PRIMAVERA,50,2020,20000,   2790.0,
14740,KAWASAKI,VULCAN,800 CLASSIC,2015,20000,   3990.0,
14747,TRIUMPH,STREET,TRIPLE,2008,60000,   3090.0, 2000.0
14749,HONDA,CBR,600 F,2009,50000,   3990.0,
14759,HONDA,INTEGRA,INTEGRA,2011,40000,   4590.0, 3000.0
14762,KAWASAKI,NINJA,250,2007,20000,   2490.0,
14768,Kawasaki,Vulcan,VN900 classic,2013,50000,   4090.0,
14776,HARLEY DAVIDSON,SPORTSTER,FORTY EIGHT 1200,2016,40000,  10990.0,
14792,SYM,JOYMAX,125,2016,20000,   2490.0,
14800,HONDA,VT,600 SHADOW,2002,30000,   2990.0,
14811,YAMAHA,XVS,950 MIDNIGHT STAR,2009,40000,   5890.0,
14812,Yamaha,Súper tenere,1200,2015,40000,   9990.0,
14814,KAWASAKI,VULCANS,S,2017,20000,  13190.0, 5000.0
14818,HONDA,PCX,125,2021,20000,   2790.0,
14820,TRIUMPH,BONNEVILLE,900,2006,40000,   6490.0,
14832,BMW,C,650 GT,2019,20000,   7990.0,
14835,YAMAHA,X-MAX,300,2018,20000,   4490.0,
14839,HONDA,CBR,1000 RR FIREBLADE,2017,40000,  10490.0,
14856,HONDA,SH,125,2008,40000,   1390.0,
14864,PIAGGIO,MEDLEY,125,2019,20000,   2490.0,
14870,SUZUKI,GSX,R 1000,2001,60000,   4590.0,
14879,HONDA,VFR,800 FI,2004,80000,   2990.0,
14880,YAMAHA,X-MAX,250,2007,40000,   1890.0,
14887,SYM,MAXSYM,600,2017,50000,   3990.0,
14888,HARLEY DAVIDSON,VRSC,V ROD,2006,40000,   9990.0,
14900,HONDA,FORZA,250,2007,40000,   1790.0,
14902,YAMAHA,FZ6,N,2005,50000,   2190.0,
14921,BMW,R,NINET SCRAMBLER,2020,20000,  13890.0,
14923,KAWASAKI,Z,750,2006,60000,   2290.0,
14931,HONDA,VARADERO,XL 125,2006,13840,   2290.0, 1350.0
14932,APRILIA,COMPAY,125,2009,20000,   1290.0,
14934,SYM,MAXSYM,600,2014,20000,   3790.0,
14939,PIAGGIO,X10,500,2013,50000,   2990.0,
14944,BMW,F,800 S,2006,80000,   2990.0,
14955,HONDA,VFR,800 FI,1997,40000,   2490.0,
14963,HONDA,SH,125 MODE,2017,20000,   2290.0,
14966,HONDA,SH,300,2012,80000,   2490.0,
14971,KYMCO,SUPER DINK,125,2020,20000,   2990.0,
14972,PIAGGIO,NRG,50,2020,10000,   2190.0,
14976,SUZUKI,INTRUDER,M 1800 R,2013,30000,   5690.0,
14977,DUCATI,749,749,2004,30000,   4990.0,
14978,BMW,F,800 GT,2015,40000,   5790.0,
14980,KAWASAKI,ER,6N,2015,50000,   3890.0,
14983,YAMAHA,T-MAX,500,2009,40000,   5490.0,
14987,KYMCO,AGILITY,125,2007,30000,    990.0,
14988,BMW,F,800 R,2008,80000,   2890.0,
15004,KEEWAY,ZAHARA,125,2015,20000,    990.0,
15016,HONDA,CBF,500,2018,30000,   4490.0,
15017,YAMAHA,XVS,650 DRAG STAR CLASSIC,2007,60000,   3390.0,
15018,BMW,R,1250 GS,2018,40000,  16790.0,
15019,YAMAHA,FZ6,S,2005,40000,   2490.0, 1000.0
15023,PIAGGIO,MEDLEY,125,2016,30000,   2390.0,
15031,HONDA,SH,300,2013,30000,   3090.0,
15033,Harley Davidson,Street rod,750,2017,3658,   6990.0, 5750.0
15036,KYMCO,SUPER DINK,125,2021,20000,   3290.0,
15056,SYM,MAXSYM,400,2019,30000,   5790.0,
15060,SUZUKI,V-STROM,1000,2006,80000,   4090.0,
15070,KAWASAKI,Z,800,2015,50000,   5590.0,
15073,KYMCO,PEOPLE,125,2020,20000,   2790.0,
15081,HARLEY DAVIDSON,DYNA,SUPER GILDE,2010,50000,  10990.0,
15086,KTM,DUKE,125,2019,20000,   3790.0,
15088,YAMAHA,X-MAX,250,2015,30000,   3290.0,
15096,DUCATI,MONSTER,696,2007,60000,   3690.0,
15097,HONDA,SH,300,2011,50000,   2290.0,
15101,KEEWAY,RKV,125,2017,30000,   1090.0,
15107,HARLEY DAVIDSON,STREET GLIDE,SPECIAL,2006,80000,  14590.0,
15108,TRIUMPH,SPEEDMASTER,900,2009,30000,   5990.0,
15114,SUZUKI,GSX,S 750,2018,20000,   6790.0,
15131,Harley davidson,Street,750,2014,40000,   5690.0,
15132,HARLEY DAVIDSON,VRSC,V ROD,2006,50000,   8990.0,
15135,KAWASAKI,Z,900,2019,30000,   6390.0,
15144,KTM,ADVENTURE,1290,2017,30000,  11990.0,
15155,HONDA,CB,600 F HORNET,2007,40000,   3090.0,
15157,YAMAHA,[*AJ*] MAJESTY,400 ABS,2006,60000,   1690.0,
15170,DUCATI,SCRAMBLER,MACH 2.0,2017,20000,   6990.0,
15177,HONDA,AFRICA TWIN,CRF 1000L,2015,60000,   9990.0,
15193,BMW,R,1200 GS,2017,20000,  16290.0,
15197,BMW,F,800 GS ADVENTURE,2014,80000,   8090.0,
15201,SUZUKI,MARAUDER,250,2004,30000,   1390.0,
15211,KAWASAKI,ER,6N,2007,30000,   2790.0,
15215,TRIUMPH,BONNEVILLE,SE,2011,10400,   5990.0, 4800.0
15222,PIAGGIO,LIBERTY,125,2014,50000,   1090.0,
15237,Voge,300,R,2018,20000,   2490.0,
15238,SUZUKI,INTRUDER,125,2004,40000,   1690.0,
15247,KTM,EXC,250 SIX DAYS,2018,20000,   5490.0,
15249,KTM,[*AJ*] RC,125,2016,10000,   3290.0,
15257,HONDA,TRANSALP,XL 650 V,2002,30000,   3790.0,
15260,HONDA,PCX,125,2018,30000,   2390.0,
15272,KTM,DUKE,125,2016,20000,   4290.0,
15274,YAMAHA,X-MAX,250,2006,50000,   1590.0,
15284,HONDA,[*AJ*] PCX,125,2019,10000,   2890.0,
15285,HUSQVARNA,SUPERMOTO,701,2018,30000,   6590.0,
15288,SUZUKI,V-STROM,650,2018,20000,   7290.0,
15291,BMW,R,1200 RS,2015,20000,  11490.0,
15302,HONDA,FORZA,125,2014,50000,   2990.0,
15307,Fantic,Caballero,125,2018,30000,   3790.0,
15330,YAMAHA,[*AJ*] X-MAX,400,2013,50000,   3290.0,
15335,YAMAHA,XJ6,600 DIVERSION N,2010,60000,   3390.0,
15349,BMW,F,650 GS,2006,60000,   2190.0,
15354,BENELLI,BN,125,2020,20000,   2290.0,
15358,KAWASAKI,Z,650,2019,20000,   5790.0,
15361,KAWASAKI,Z,800,2015,34000,   5390.0, 4400.0
15362,YAMAHA,T-MAX,530,2016,20000,   9090.0,
15365,TRIUMPH,BONNEVILLE,T 100,2013,30000,   5990.0,
15369,KEEWAY,RKV,125,2019,20000,   1890.0,
15372,KYMCO,AGILITY,125,2018,40000,    990.0,
15378,HARLEY DAVIDSON,SPORTSTER,883 IRON,2018,20000,  10490.0,
15379,YAMAHA,X-CITY,250,2006,80000,   1590.0,
15380,YAMAHA,FZ6,N,2005,50000,   2990.0,
15381,BENELLI,TNT,125,2018,30000,   1490.0,
15387,YAMAHA,[*AJ*] MT,07 ABS,2016,20000,   4990.0,
15390,SYM,JOYMAX,125,2012,40000,   2390.0,
15392,YAMAHA,YBR,125,2006,40000,   1190.0,
15394,KAWASAKI,VULCAN CLASSIC,VN900,2008,50000,   4890.0,
15395,PIAGGIO,X 8,125,2004,30000,   1590.0,  500.0
15404,HONDA,CB,750,2002,30000,   2290.0,
15409,YAMAHA,FZ6,S,2008,20000,   3490.0,
15415,HONDA,NC,750S,2016,40000,   4990.0,
15427,BMW,C,650 SPORT,2019,30000,   7490.0,
15429,KAWASAKI,Z,750,2008,50000,   3790.0,
15433,BMW,R,1200 GS,2009,50000,   8990.0,
15439,BMW,F,800 GS,2014,30000,   7990.0,
15441,BMW,C,600 SPORT,2014,20000,   6790.0,
15448,BENELLI,BN,251,2019,20000,   2590.0,
15450,BENELLI,BN,125,2019,20000,   2190.0,
15453,YAMAHA,NIKEN,NIKEN,2017,20000,  11290.0,
15458,BMW,F,800 R,2017,40000,   5790.0,
15459,SYM,JET,125,2019,20000,   2290.0,
15460,YAMAHA,X-MAX,125,2020,20000,   4390.0,
15462,KAWASAKI,NINJA,1000SX,2019,40000,  12190.0,
15468,SYM,JOYMAX,125,2017,30000,   2790.0,
15475,KAWASAKI,VULCAN,S,2019,20000,   6290.0,
15477,MONDIAL,HPS,125,2018,20000,   2790.0,
15486,HONDA,CB 250 TWO FIFTY,250,2002,30000,    990.0,
15488,KEEWAY,SUPERLIGHT,125,2019,20000,   1890.0,
15494,TRIUMPH,STREET,TRIPLE,2008,60000,   3590.0,
15496,HONDA,CBR,1000 RR FIREBLADE,2004,30000,   4590.0,
15509,HONDA,CBF,500,2006,80000,   2190.0,
15528,Aprilia,[*AJ*] SHIVER,900 abs,2020,10000,   6590.0,
15533,TRIUMPH,[*AJ*] STREET,TRIPLE,2018,30000,   6590.0,
15536,KAWASAKI,Z,900,2020,20000,   8490.0,
15545,MACBOR,SHIFTER,125,2017,20000,   1590.0,
15552,BMW,G,310 R,2018,20000,   4190.0,
15556,SYM,SYMPHONY sr,125,2014,40000,   1290.0,  400.0
15558,KAWASAKI,ER,6N,2014,20000,   3790.0,
15559,SUZUKI,GSX,R 600,2006,42000,   4490.0,
15562,DUCATI,MONSTER,796,2013,80000,   3790.0,
15567,SUZUKI,GSR,600,2007,80000,   2290.0,
15569,BMW,S,1000 R,2014,30000,  12290.0,
15573,HONDA,CBR,600 F,2003,40000,   2990.0,
15576,PIAGGIO,MEDLEY,125,2020,20000,   2790.0,
15577,SUZUKI,INTRUDER,C 800,2009,40000,   4990.0,
15582,BMW,R,1250 RT,2018,40000,  13990.0,
15583,KAWASAKI,ER,6F,2011,40000,   3690.0,
15586,KYMCO,SUPER DINK,350,2016,40000,   3090.0,
15588,SUZUKI,BURGMAN,400,2018,30000,   4790.0,
15589,BMW,F,800 GS ADVENTURE,2013,30000,   8790.0,
15622,HONDA,CBF,125,2012,30000,   1690.0,
15625,SUZUKI,BURGMAN,400,2018,20000,   5390.0,
15630,YAMAHA,T-MAX,500,2010,30000,   5790.0,
15632,HONDA,FORZA,300,2018,40000,   4090.0,
15634,KAWASAKI,VN,900 CLASSIC,2009,20000,   5990.0, 3800.0
15653,HONDA,CB,125 R,2018,30000,   3090.0,
15657,BMW,R,850 R,2006,60000,   3390.0,
15661,KAWASAKI,VERSYS,650,2006,60000,   3290.0,
15665,HYOSUNG,GT,125 R COMET,2005,40000,   1190.0,
15669,BMW,C,600 SPORT,2012,40000,   4590.0,
15672,Mitt,Gp2,2021,2020,20000,   2590.0,
15679,BMW,C,650 SPORT,2015,20000,   6990.0,
15685,KTM,DUKE,125,2015,30000,   2690.0,
15688,SYM,SYMPHONY,125,2014,30000,   1290.0,
15702,HARLEY DAVIDSON,SPORTSTER,883 CUSTOM,2006,60000,   5690.0,
15718,KYMCO,GRAND DINK,300,2017,40000,   2490.0,
15720,YAMAHA,FZ6,S,2004,50000,   2890.0,
15721,SUZUKI,GSR,600,2006,20000,   3790.0,
15730,KEEWAY,MATRIX,125,2016,20000,   1190.0,
15733,KAWASAKI,VERSYS,650,2007,50000,   3290.0,
15739,KYMCO,SUPER DINK,300,2010,30000,   1890.0,
15744,KYMCO,SUPER DINK,125,2014,20000,   1990.0,
15745,HONDA,[*AJ*] CB,500 X ABS,2017,30000,   4990.0,
15756,YAMAHA,T-MAX,530,2006,50000,   3090.0,
15771,BENELLI,TRK,502,2021,10000,   6290.0,
15772,BENELLI,LEONCINO,500,2020,10000,   4490.0,
15774,BMW,R,1200 GS,2014,80000,  10990.0,
15785,BMW,F,800 R,2011,20000,   4690.0,
15802,YAMAHA,FZ6,N,2009,40000,   2590.0,
15804,HONDA,TRANSALP,XL 700 V,2010,60000,   4390.0,
15828,HONDA,CB,125 R,2021,30000,   3290.0,
15830,DAELIM,DAYSTAR,125 FI,2016,10000,   1590.0,
15837,DUCATI,MULTIESTRADA,950,2017,20000,   9790.0,
15840,BMW,R,1250 RS,2021,10000,  16490.0,
15846,KAWASAKI,VERSYS,650,2020,4636,   6990.0, 6000.0
15853,DUCATI,MONSTER,1100,2009,30000,   6690.0,
15854,YAMAHA,X-MAX,125,2016,10000,   3590.0,
15855,KYMCO,K-XCT,125,2014,10000,   2090.0,
15868,MONDIAL,HPS,125,2020,10000,   2590.0,
15874,YAMAHA,X-CITY,125,2010,30000,   1590.0,
15883,MONDIAL,HPS,125,2021,10000,   3190.0,
15893,YAMAHA,XVZ,1300 ROYAL STAR,2007,20914,   7490.0, 5500.0
15896,YAMAHA,MT,01,2006,40000,   5990.0,
15902,HONDA,CBF,600 S,2006,50000,   2590.0,
15910,KAWASAKI,Z,650,2017,10000,   5390.0,
15914,SUZUKI,BURGMAN,650,2015,30000,   5490.0,
15916,MOTOR HISPANIA,NKZ,125,2017,10000,   1690.0,
15918,KAWASAKI,Z,900,2018,10000,   6590.0,
15920,HARLEY DAVIDSON,SPORTSTER,883 CUSTOM,2007,40000,   6790.0,
15928,KAWASAKI,Z,900,2018,30000,   6690.0,
15931,BMW,F,800 R,2014,30000,   4290.0,
15942,BMW,F,800 R,2018,20000,   5990.0,
15944,YAMAHA,[*AJ*] MT,01,2005,30000,   6290.0,
15948,BMW,K,1600GTL,2011,80000,  13990.0,
15952,KEEWAY,RKV,125,2012,20000,   1290.0,
15957,BMW,R,1100 RT,1998,80000,   3490.0,
15961,HONDA,@,125,2005,30000,    990.0,
15964,KAWASAKI,[*AJ*] VERSYS,1000,2016,60000,   8490.0,
15969,YAMAHA,FZ6,S,2005,50000,   1990.0,
15976,KYMCO,X CITING,400,2018,20000,   3790.0,
15977,SUZUKI,VANVAN,125,2011,30000,   2290.0,
15978,KAWASAKI,NINJA,650,2019,10000,   5890.0,
15981,SUZUKI,GSR,600,2006,80000,   1990.0,
15986,YAMAHA,FZ6,N,2006,80000,   1490.0,
15992,Voge,500ds,500ds,2021,10000,   4490.0,
15995,BMW,S,1000 XR,2016,20000,  14190.0,
15998,SYM,JOYMAX,125,2021,10000,   3890.0,
16008,YAMAHA,YZF,R3,2018,20000,   4990.0,
16013,KYMCO,SUPER DINK,125,2012,40000,   1290.0,
16019,HUSQVARNA,VITPILEN,401,2019,10000,   4290.0,
16022,DUCATI,MONSTER,937,2021,10000,   9490.0,
16023,KAWASAKI,VERSYS,X 300,2020,10000,   4990.0,
16025,Husqvarna,FE250,FE,2018,10000,   5990.0,
16028,SUZUKI,GSR,600,2008,80000,   1990.0,
16033,brixton,bx125r,r,2019,10000,   1890.0,
16034,HONDA,CB,125 F,2017,10000,   1890.0,
16036,KTM,ADVENTURE,1090,2018,20000,   9590.0,
16055,KAWASAKI,Z,900,2018,20000,   6790.0,
16058,DUCATI,MONSTER,696,2009,40000,   4190.0,
16068,HONDA,AFRICA TWIN,CRF 1100L,2021,10000,  14790.0,
16074,Yamaha,Virago,250,2006,10000,   1790.0,
16075,KTM,[*AJ*] SUPER DUKE,1290 GT,2020,10000,  16890.0,
16084,BMW,C,650 GT,2015,60000,   4190.0,
16086,MACBOR,MONTANA,XR1 125,2021,20000,   2290.0,
16090,SYM,CRUISYM,125,2018,30000,   2590.0,
16092,SUZUKI,BURGMAN,125,2016,3000,   2790.0,
16095,KAWASAKI,NINJA,ZX 6R,2006,80000,   2990.0,
16098,SUZUKI,V-STROM,650,2006,70230,   2990.0, 1500.0
16103,BMW,650,F650GS,2000,60000,   2190.0,
16106,BMW,C,C1 125,2005,20000,   1490.0,
16111,HONDA,CBF,600 N,2008,62000,   1990.0,  700.0
16119,MASH,CAFÃ‰ RACER,125,2016,10000,   1190.0,
16124,HONDA,AFRICA TWIN,CRF 1000L,2017,50000,   9990.0,
16128,YAMAHA,T-MAX,500,2008,40000,   5390.0,
16133,KTM,DUKE,125,2012,20000,   2490.0,
16146,HONDA,CBR,600 RR,2006,30000,   3790.0,
16149,YAMAHA,TRICITY,300,2021,10000,   7590.0,
16150,KAWASAKI,ER,6F,2008,80000,   1990.0,
16153,SUZUKI,BANDIT,650 S,2008,50000,   1990.0,
16162,VESPA,LXV,125,2007,20000,   1390.0,
16170,YAMAHA,MT,03,2017,30000,   3490.0,
16173,HONDA,PCX,125,2013,40000,   1590.0,
16176,YAMAHA,FZ6,N,2005,30000,   2990.0,
16177,Goes,Goes 125gt,Mitt,2018,10000,   1590.0,
16179,HONDA,FORZA,750,2022,10000,  10000.0,
16183,YAMAHA,XJ6,600 DIVERSION S,2013,50000,   3790.0,
16188,YAMAHA,X-MAX,125,2019,20000,   4390.0,
16199,SYM,CRUISYM,300,2018,20000,   4490.0,
16204,KYMCO,AK,550,2017,10000,   6190.0,
16207,BMW,R,1250 RS,2020,40000,  15490.0,
16210,PEUGEOT,TWEET,125,2019,4000,   1890.0,
16242,SUZUKI,GSR,600,2006,54000,   2290.0, 1200.0
16244,YAMAHA,YZF,R 125,2021,10000,   4490.0,
16247,HONDA,S-WING,125,2010,18900,   1790.0, 1000.0
16249,BMW,F,900 XR,2020,10000,  10790.0,
16261,YAMAHA,FZ6,N,2006,20000,   3290.0,
16272,PIAGGIO,MEDLEY,125,2019,10000,   2090.0,
16279,SYM,FIDLE II,125,2017,10000,   1490.0,
16282,KTM,ADVENTURE,1290,2021,10000,  16490.0,
16296,BMW,R,1200 RT 110 CV,2015,60000,  12990.0,
16306,HONDA,CBR,1000 RR FIREBLADE,2008,10000,   8990.0,
16308,HONDA,CB,500 X,2019,3000,   5690.0, 4500.0
16314,HONDA,CBR,600 RR,2007,30000,   4290.0,
16316,YAMAHA,XJ6,600 DIVERSION N,2011,60000,   3390.0,
16331,BMW,F,800 GS ADVENTURE,2016,40000,   8590.0,
16350,YAMAHA,T-MAX,500,2005,80000,   2490.0,
16356,YAMAHA,T-MAX,500,2011,40000,   5190.0,
16357,MACBOR,MONTANA,XR1 125,2020,10000,   2590.0,
16358,YAMAHA,TRACER,700,2017,20000,   6190.0,
16378,BMW,F,650 GS,2007,40000,   3590.0,
16385,HARLEY DAVIDSON,DYNA,FAT BOB,2009,20000,  11990.0,
16386,KAWASAKI,Z,125,2020,10000,   3390.0,
16388,TRIUMPH,SPEEDMASTER,900,2011,10000,   6590.0, 5000.0
16405,KAWASAKI,ER,6N,2007,30000,   2790.0,
16407,YAMAHA,X-MAX,125,2018,10000,   3790.0,
16409,BMW,S,1000 XR,2021,20000,  18990.0,
16422,HARLEY DAVIDSON,SOFTAIL,FAT BOY,2020,10000,  24490.0,
16425,Voge,300,Ac,2021,10000,   3090.0,
16428,HONDA,[*AJ*] CB,650F,2016,20000,   5690.0,
